"sepal.length" "sepal.width" "petal.length" "petal.width" "New.Feature.1" "New.Feature.2" "class" "New.Feature.3" "New.Feature.4"
"1" 5.1 3.5 1.4 0.2 1.611281201 2.981147759 1 1.23110238313954 0.137160869925389
"2" 4.9 3 1.4 0.2 1.295846922 2.210908485 1 1.16563834389035 0.0779328433624505
"3" 4.7 3.2 1.3 0.2 1.685578189 3.114562486 1 1.42877107919464 0.147140489317593
"4" 4.6 3.1 1.5 0.2 1.546063651 2.714976589 1 1.00263588813097 0.0690196457820658
"5" 5 3.6 1.4 0.2 1.501464332 2.815603084 1 1.41440755660722 0.265872085912539
"6" 5.4 3.9 1.7 0.4 1.325834794 2.235803367 1 1.3718952866211 0.140983713340441
"7" 4.6 3.4 1.4 0.3 1.529385945 2.792032436 1 1.63711325530838 0.153462587830273
"8" 5 3.4 1.5 0.2 1.331027778 2.278499398 1 1.26905603251328 0.11084640111765
"9" 4.4 2.9 1.4 0.2 1.147872526 1.976229217 1 1.48348725135549 0.282854701100137
"10" 4.9 3.1 1.5 0.1 1.401504697 2.434789096 1 1.09149215471709 0.066364534820792
"11" 5.4 3.7 1.5 0.2 1.340573505 2.38020317 1 1.52980660598771 0.246947830841295
"12" 4.8 3.4 1.6 0.2 1.259046818 2.296553202 1 1.7844120037064 0.364466577943488
"13" 4.8 3 1.4 0.1 1.526364639 2.794598904 1 1.31120638098454 0.370186081892657
"14" 4.3 3 1.1 0.1 1.314644727 2.262849013 1 1.36733895207293 0.284902949508922
"15" 5.8 4 1.2 0.2 1.495579711 2.590191701 1 1.64673186629005 0.265711439068458
"16" 5.7 4.4 1.5 0.4 1.403404995 2.429602367 1 1.55072176820117 0.215156361286486
"17" 5.4 3.9 1.3 0.4 1.651606733 3.04506388 1 1.16179154825382 0.165157817683633
"18" 5.1 3.5 1.4 0.3 1.181881678 2.0881361 1 1.29347324777792 0.189912596163455
"19" 5.7 3.8 1.7 0.3 1.432862651 2.460808468 1 1.26210283530408 0.114554749056033
"20" 5.1 3.8 1.5 0.3 1.193631739 2.108733088 1 1.62484088293905 0.346371156846514
"21" 5.4 3.4 1.7 0.2 1.426801293 2.667966556 1 1.44351429791796 0.210781144335648
"22" 5.1 3.7 1.5 0.4 1.488397799 2.567217408 1 1.5822074376756 0.211627685132553
"23" 4.6 3.6 1 0.2 1.318043692 2.406205482 1 1.47219673863711 0.271862010977374
"24" 5.1 3.3 1.7 0.5 1.481631517 2.722306261 1 1.72104094019622 0.460431313883334
"25" 4.8 3.4 1.9 0.2 1.364507139 2.445791678 1 1.38377883576524 0.283427021092456
"26" 5 3 1.6 0.2 1.331239423 2.51312354 1 1.16073347395022 0.222808643971857
"27" 5 3.4 1.6 0.4 1.276305438 2.364165831 1 1.72142912748836 0.422716495051023
"28" 5.2 3.5 1.5 0.2 1.506482576 2.751381412 1 1.80530580439568 0.41269019777509
"29" 5.2 3.4 1.4 0.2 1.393675192 2.655550283 1 1.52473772585449 0.37271127009264
"30" 4.7 3.2 1.6 0.2 1.518188006 2.866449396 1 1.16543616768688 0.0411795411001723
"31" 4.8 3.1 1.6 0.2 1.353926909 2.613555551 1 1.40988274673605 0.219754441688338
"32" 5.4 3.4 1.5 0.4 1.582769715 2.916997795 1 1.81695835941586 0.355118136354279
"33" 5.2 4.1 1.5 0.1 1.38730271 2.60468973 1 1.3640731938373 0.36755010168181
"34" 5.5 4.2 1.4 0.2 1.158511389 2.058599847 1 1.90263588813097 0.504863778596338
"35" 4.9 3.1 1.5 0.1 1.52966427 2.726083532 1 1.52079670146911 0.0991238645980748
"36" 5 3.2 1.2 0.2 1.538368778 2.761824284 1 1.77935086738119 0.339687761920869
"37" 5.5 3.5 1.3 0.2 1.188148398 2.034878611 1 1.1865046141984 0.265550767992168
"38" 4.9 3.1 1.5 0.1 1.162524956 2.052630219 1 1.49815165406405 0.166514928821297
"39" 4.4 3 1.3 0.2 1.660011537 3.058626233 1 1.82091301785251 0.253663397884462
"40" 5.1 3.4 1.5 0.2 1.418100687 2.674177635 1 1.14281176713207 0.256216557682648
"41" 5 3.5 1.3 0.3 1.432588514 2.51882525 1 1.34623660926565 0.359344874963285
"42" 4.5 2.3 1.3 0.3 1.151526591 2.008273625 1 1.69735124765484 0.195974950859296
"43" 4.4 3.2 1.3 0.2 1.254935948 2.13313103 1 1.64548066593877 0.235638009101025
"44" 5 3.5 1.6 0.6 1.318162402 2.210588027 1 1.70373528759999 0.279036779970586
"45" 5.1 3.8 1.9 0.4 1.507755666 2.751911913 1 1.5839928614767 0.410240800569974
"46" 4.8 3 1.4 0.3 1.335090987 2.331703909 1 1.400864208266 0.193809503295845
"47" 5.1 3.8 1.6 0.2 1.348846576 2.321883958 1 1.67420334968324 0.296382933034923
"48" 4.6 3.2 1.4 0.2 1.384779272 2.33738095 1 1.70005457825152 0.167584250067671
"49" 5.3 3.7 1.5 0.2 1.343922047 2.399106483 1 1.09423604637065 0.00486377859633816
"50" 5 3.3 1.4 0.2 1.407968726 2.527277215 1 1.30336046271162 0.303839626108354
"51" 7 3.2 4.7 1.4 1.410241637 3.502849104 2 3.72113800378237 1.12274092498335
"52" 6.4 3.2 4.5 1.5 1.473089604 3.815651652 2 3.54725408915003 1.04714126850633
"53" 6.9 3.1 4.9 1.5 1.428253639 3.611537465 2 4.11652858819151 1.24421414561792
"54" 5.5 2.3 4 1.3 1.291928544 3.252071387 2 3.22068031719921 0.946539008235541
"55" 6.5 2.8 4.6 1.5 1.16038519 3.028983793 2 4.17951778313518 1.31094118323347
"56" 5.7 2.8 4.5 1.3 1.420478507 3.723176701 2 4.00023920308001 1.20718441145703
"57" 6.3 3.3 4.7 1.6 1.656856274 4.119626783 2 4.53004697553099 1.36959240739923
"58" 4.9 2.4 3.3 1 1.256273401 3.266179464 2 3.7753797618515 1.12820929521497
"59" 6.6 2.9 4.6 1.3 1.453159743 3.695087505 2 4.32805737157577 1.36192799407472
"60" 5.2 2.7 3.9 1.4 1.24310911 3.216650025 2 3.39293370584414 0.996627162759781
"61" 5 2 3.5 1 1.150561788 3.03661842 2 4.39134335971204 1.36620321630523
